data,Casos_Publicacao_Min,Casos_Publicacao_Max
2020-06-14,2023.6146731090635,2106.6932190336242
2020-06-15,2004.59955745208,2127.5488098621386
2020-06-16,1958.8438369967141,2078.081735661697
2020-06-17,1996.169485334194,2160.343797804083
2020-06-18,1999.6867315095642,2144.325647318571
2020-06-19,2006.613317011481,2122.7362724408267
2020-06-20,1991.622632126969,2132.7816916295096
2020-06-21,1988.2401629678093,2088.36839578175
2020-06-22,2011.3088697505045,2101.4891303796103
2020-06-23,1982.1065936418624,2106.566821330359
2020-06-24,1968.572072554257,2070.755497690521
2020-06-25,1961.3749922896343,2090.4574445431354
2020-06-26,1946.0632718937643,2051.6582279114496
2020-06-27,1948.7108830455977,2061.5281019193485
2020-06-28,1951.610114298606,2088.042764989598
2020-06-29,1930.440406655927,2037.429140391498
2020-06-30,1917.2580502860994,2019.544110965276
2020-07-01,1913.5360160830048,2009.5134866831645
2020-07-02,1918.9402392762756,2020.1662040802928
2020-07-03,1902.4219914376758,2011.7503889997763
2020-07-04,1873.498953952701,1993.0395055722458
2020-07-05,1862.2722130020652,1962.7009327484232
2020-07-06,1834.0561897364398,1945.3878296908251
2020-07-07,1831.6072364584177,1962.2773954020888
2020-07-08,1806.8292370136985,1937.4385759817826
2020-07-09,1846.0542251870643,1947.053380945895
2020-07-10,1840.2058574793593,1954.6436536142764
2020-07-11,1837.0031852757959,1913.0258813942094
2020-07-12,1822.9763962737784,1903.9647716470618
2020-07-13,1811.3687955005807,1930.764112085236
2020-07-14,1794.5792345956236,1886.3055799096492
2020-07-15,1779.2948391497357,1853.8581745969507
2020-07-16,1754.1940279725034,1839.7015652589391
2020-07-17,1737.7099222935406,1839.9488317159569
2020-07-18,1734.612077974232,1835.2109366184868
2020-07-19,1710.2145239444933,1832.1912622201614
2020-07-20,1729.0501769291789,1839.4268409545812
2020-07-21,1716.4474076305662,1805.6174126947487
2020-07-22,1714.200007934247,1806.418687871804
2020-07-23,1720.6597969757167,1786.9490500605332
2020-07-24,1678.4589008647888,1754.8365821377058
2020-07-25,1674.3524325675514,1748.9701697822184
2020-07-26,1628.5946851006127,1713.5534594910916
2020-07-27,1630.541857907447,1710.9486074152971
2020-07-28,1633.275769548869,1696.2035961831014
2020-07-29,1582.9244130758264,1650.0449009831407
2020-07-30,1557.0237519572402,1618.0968336640046
2020-07-31,1520.5516997057384,1594.585588927232
2020-08-01,1520.4828776184759,1584.869733147688
2020-08-02,1511.3479132121374,1576.5574985694618
2020-08-03,1483.8328005567498,1548.0004744395046
