data,Casos_Publicacao_Min,Casos_Publicacao_Max
2021-03-22,1745.998625131947,1909.9897324862532
2021-03-23,1807.50503601707,1926.5671987907442
2021-03-24,1855.496612993604,1992.8984658052545
2021-03-25,1889.5281849242972,2029.7023897056022
2021-03-26,1925.9760716311068,2086.634860523761
2021-03-27,2001.3788141218783,2190.6458071315533
2021-03-28,1995.1908170783886,2188.367399580747
2021-03-29,1974.2130466728318,2151.4330265159447
2021-03-30,1976.939621650036,2146.8551292711404
2021-03-31,1950.301740129843,2143.631968735503
2021-04-01,1978.6656281094522,2156.1392655615946
2021-04-02,1942.8154526967433,2093.9787260519975
2021-04-03,1930.042266871721,2093.5625987502244
2021-04-04,1916.7144406417824,2050.091189096974
2021-04-05,1863.1250869142686,1996.876505135094
2021-04-06,1833.4541840967313,1985.528614065566
2021-04-07,1847.9046910414588,1984.726187246302
2021-04-08,1826.6220150018007,1958.4595514601094
2021-04-09,1755.3704846138173,1870.8669284537311
2021-04-10,1710.10880429441,1831.832272306145
2021-04-11,1696.1920830461104,1813.6964407657617
2021-04-12,1724.1600978870665,1820.9089673792241
2021-04-13,1708.8697494322614,1806.5202503681378
2021-04-14,1726.35481137628,1829.3505309181085
2021-04-15,1734.6992675719803,1846.7436587066015
2021-04-16,1787.6143724478563,1887.4204496347922
2021-04-17,1807.1052598748565,1923.9217514545196
2021-04-18,1798.1416236546884,1888.1868486307574
2021-04-19,1742.1260516982695,1907.8297576100406
2021-04-20,1722.3266813831779,1833.2236459013407
2021-04-21,1684.901951548488,1818.9421556597938
2021-04-22,1678.247162081909,1818.5058203298063
2021-04-23,1637.0519104903663,1770.4267399238054
2021-04-24,1620.4825782013581,1723.507337416947
2021-04-25,1566.2568465339575,1687.44376537529
2021-04-26,1577.403879264143,1673.4142556449551
2021-04-27,1585.2747677982636,1703.6664434960164
2021-04-28,1543.9379846593426,1636.077253388201
2021-04-29,1500.9008727062046,1595.5799654055768
2021-04-30,1501.9731954899216,1598.1084029353651
2021-05-01,1469.4724459040688,1548.2390934354353
2021-05-02,1445.066350992387,1550.8430856462671
2021-05-03,1410.7382920510297,1478.783340972106
2021-05-04,1368.0362278785124,1441.6645230352747
2021-05-05,1407.8042273293847,1489.7552803246779
2021-05-06,1399.6357453796963,1491.6821858428468
2021-05-07,1400.4288956603984,1461.7506286609284
2021-05-08,1372.362944617283,1446.6213102844001
2021-05-09,1368.2923703856784,1441.8133094603593
2021-05-10,1390.3903925483828,1466.3731851635234
2021-05-11,1379.8489494961557,1453.7463565047954
2021-05-12,1368.1093687069279,1429.9540396327332
2021-05-13,1353.8524995973214,1414.9412379570356
2021-05-14,1338.222386400251,1423.4653215635672
2021-05-15,1350.0475130607238,1438.098663823351
2021-05-16,1326.7438638538092,1409.0544247877094
2021-05-17,1338.4066467698228,1405.8523426082454
2021-05-18,1326.410109802428,1423.800426860009
2021-05-19,1353.9325254033445,1418.6930281878726
2021-05-20,1375.7927755643689,1453.5989130718256
2021-05-21,1426.7280655821444,1490.140735579702
2021-05-22,1439.1196601412394,1530.8837374389132
2021-05-23,1451.9428867973413,1558.9883940464922
2021-05-24,1463.2647821898372,1563.7907182628173
2021-05-25,1454.1653165543569,1544.7321953622052
2021-05-26,1433.9732228128248,1518.8538226290696
2021-05-27,1396.0321054291007,1485.5597576578089
2021-05-28,1356.8133313009619,1425.4245671029353
2021-05-29,1278.598156275663,1352.2343147306206
2021-05-30,1240.317334038711,1308.3830431759802
2021-05-31,1190.7393253806579,1270.485765152592
2021-06-01,1176.50794624517,1254.493673433353
2021-06-02,1158.3624360985746,1234.0528843559553
2021-06-03,1121.9875244358489,1196.0060195611754
2021-06-04,1124.6153754993875,1182.3782210336333
2021-06-05,1110.2339163269899,1171.0366673281533
2021-06-06,1098.5369102547231,1155.8164769167718
