data,Casos_DataSintoma_MM_atual_PA
2020-07-17,1400.5268849229608
2020-07-18,1443.5060133016214
2020-07-19,1447.0724319693868
2020-07-20,1448.1837548434696
2020-07-21,1422.587116240615
2020-07-22,1451.1032785335642
2020-07-23,1450.7456577859111
2020-07-24,1376.0885531413087
2020-07-25,1324.330865558252
2020-07-26,1285.5188255738487
2020-07-27,1302.5873791360862
2020-07-28,1285.9777587552403
2020-07-29,1209.758102350525
2020-07-30,1162.3392005832197
2020-07-31,1128.9465288665665
2020-08-01,1134.5706783205032
2020-08-02,1146.9080140968317
2020-08-03,1123.1334546119108
2020-08-04,1098.2482430453015
2020-08-05,1087.831366919404
2020-08-06,1089.2422746730128
2020-08-07,1087.5610454703208
2020-08-08,1127.4826360937336
2020-08-09,1161.8588901461972
2020-08-10,1176.2227055635724
2020-08-11,1150.0378056845443
2020-08-12,1142.054791085818
2020-08-13,1124.8292530318533
2020-08-14,1132.957767230241
2020-08-15,1068.7349292997114
2020-08-16,1018.9649472759094
2020-08-17,1040.3368276585672
2020-08-18,1057.8842201394502
2020-08-19,1066.6752301205445
2020-08-20,1076.2097367125075
2020-08-21,1073.20486317812
2020-08-22,1079.1246103513686
2020-08-23,1072.8147727760393
2020-08-24,1010.6916582490537
2020-08-25,959.0824002019198
2020-08-26,921.5476236157436
2020-08-27,938.076524696829
2020-08-28,940.9790930677975
2020-08-29,912.1700446770149
2020-08-30,888.0272387856539
2020-08-31,856.4193105066231
2020-09-01,825.2378395448752
2020-09-02,816.2596970556569
2020-09-03,756.975626649348
2020-09-04,732.4885172058769
2020-09-05,714.9523127810243
2020-09-06,708.1556549901297
2020-09-07,688.444054801421
2020-09-08,692.6082642057519
2020-09-09,682.9726331995012
2020-09-10,673.4064455593146
2020-09-11,649.1853859968998
2020-09-12,648.2375144311898
2020-09-13,636.8970212729722
2020-09-14,610.3890946855437
2020-09-15,568.3379646714747
2020-09-16,537.698526714351
2020-09-17,548.1298315250166
2020-09-18,549.2610045155543
2020-09-19,545.2033734475054
2020-09-20,546.2566532724412
2020-09-21,549.7398556202572
2020-09-22,556.938506748996
2020-09-23,558.6745901585313
2020-09-24,523.1865989747128
2020-09-25,509.41036549665523
2020-09-26,494.3817499700566
2020-09-27,507.1316831361169
2020-09-28,508.08448999997984
2020-09-29,497.69061963643975
2020-09-30,499.6599075071892
2020-10-01,509.27391042871517
2020-10-02,520.6697950217103
2020-10-03,530.2979033420343
2020-10-04,512.4839481403727
2020-10-05,490.4702817943552
2020-10-06,475.62268844812405
2020-10-07,472.3842044392718
2020-10-08,492.6415550950748
2020-10-09,499.8831006666871
2020-10-10,506.4300275907423
2020-10-11,515.4458064790236
2020-10-12,511.81569259138126
2020-10-13,510.9080485451745
