data,Casos_DataSintoma_MM_atual_PA
2020-07-28,1224.3756345760519
2020-07-29,1179.6168869326254
2020-07-30,1146.7117283163018
2020-07-31,1168.3673908631815
2020-08-01,1179.928024867407
2020-08-02,1128.0692238977867
2020-08-03,1107.4632178418751
2020-08-04,1068.9700350312658
2020-08-05,1047.0073259054664
2020-08-06,1018.1570055069548
2020-08-07,1058.9818479330563
2020-08-08,1076.2775694303505
2020-08-09,1041.5302692114499
2020-08-10,1043.7118693385335
2020-08-11,1000.5063556689449
2020-08-12,989.3543056308583
2020-08-13,958.5144323054309
2020-08-14,1003.549387956566
2020-08-15,1012.5148249208976
2020-08-16,974.7043701127981
2020-08-17,967.3066342102794
2020-08-18,947.8401121185855
2020-08-19,921.0668845345388
2020-08-20,888.0027897914078
2020-08-21,916.7219161851037
2020-08-22,920.9503050049185
2020-08-23,899.0081904876465
2020-08-24,879.4374758057909
2020-08-25,839.0740276973868
2020-08-26,812.0468771639969
2020-08-27,781.689560933285
2020-08-28,830.6911208700144
2020-08-29,850.9344991870491
2020-08-30,834.5222293103619
2020-08-31,814.6392173147494
2020-09-01,778.7434859898187
2020-09-02,777.1638698857246
2020-09-03,715.4798642543277
2020-09-04,723.2505521892793
2020-09-05,726.9654939726147
2020-09-06,728.8887617444592
2020-09-07,719.5071440319163
2020-09-08,669.4368869962655
2020-09-09,656.8595476872802
2020-09-10,639.7622208053024
2020-09-11,634.6949423618493
2020-09-12,642.6655007097993
2020-09-13,643.9009562031564
2020-09-14,618.1142990136639
2020-09-15,577.0902174109045
2020-09-16,572.7968474288305
2020-09-17,564.4519623529076
2020-09-18,564.7509594396942
2020-09-19,569.4151767816961
2020-09-20,570.6875642632824
2020-09-21,554.2436568314018
2020-09-22,534.7795850948921
2020-09-23,539.546218787947
2020-09-24,521.8945979688826
2020-09-25,523.2853033129859
2020-09-26,517.8585860959442
2020-09-27,521.0988492450053
2020-09-28,506.7763731557449
2020-09-29,477.0730357204151
2020-09-30,483.26179837245945
2020-10-01,476.68521087570946
2020-10-02,490.40406006561966
2020-10-03,501.9994637029285
2020-10-04,520.6962491925859
2020-10-05,512.3797986739629
2020-10-06,488.7721295391089
