data,Casos_Publicacao_MM_atual_PA
2020-10-26,501.15673228828086
2020-10-27,515.9131130377234
2020-10-28,530.8320785713483
2020-10-29,539.2289672297625
2020-10-30,550.5231462598338
2020-10-31,558.5296687631047
2020-11-01,568.1832694126603
2020-11-02,577.3993346850693
2020-11-03,581.2714931189436
2020-11-04,588.8978862419602
2020-11-05,596.5257853889351
2020-11-06,598.4339212222859
2020-11-07,594.7247894369422
2020-11-08,594.3195621359301
2020-11-09,580.597318330866
2020-11-10,572.4365116284638
2020-11-11,566.7441400238356
2020-11-12,566.616499045216
2020-11-13,563.9375741496888
2020-11-14,566.3627252296344
2020-11-15,563.9566614924522
2020-11-16,569.1395976436742
2020-11-17,583.845225823013
2020-11-18,597.7542387752617
2020-11-19,606.0193909172234
2020-11-20,611.7200485372865
2020-11-21,616.2611368916661
2020-11-22,622.0620250938058
2020-11-23,619.0552567753172
2020-11-24,606.9536718162391
2020-11-25,602.1320040727891
2020-11-26,595.5802699394858
2020-11-27,605.2393879963112
2020-11-28,614.1457883291265
2020-11-29,614.9939217266143
2020-11-30,617.3465376340666
2020-12-01,620.1499792765719
2020-12-02,629.3894847610641
2020-12-03,628.5998106484539
2020-12-04,619.9263127529795
2020-12-05,616.4830915673966
2020-12-06,616.7158335759162
2020-12-07,618.7488358927401
2020-12-08,642.5689177651535
2020-12-09,664.7888221121984
2020-12-10,682.0973973336629
2020-12-11,700.7195438233417
2020-12-12,712.4825655412953
2020-12-13,731.9893649314126
2020-12-14,743.0972613163814
2020-12-15,734.7922619257247
2020-12-16,730.8795323464949
2020-12-17,746.9396854441583
2020-12-18,754.4332325317632
2020-12-19,758.7598079090608
2020-12-20,762.2997920836402
2020-12-21,767.4198035339093
2020-12-22,779.249633430601
2020-12-23,794.4440360010892
2020-12-24,799.0258285387238
2020-12-25,815.0687338380801
2020-12-26,821.5455398662148
2020-12-27,842.8117889003663
2020-12-28,848.9627829553544
2020-12-29,852.7173947873372
2020-12-30,863.0040259055635
2020-12-31,866.4952141935183
2021-01-01,859.2318471772163
2021-01-02,856.324548835138
2021-01-03,850.1624625370365
2021-01-04,856.1135104245445
2021-01-05,855.0900406859251
2021-01-06,859.8460265703663
2021-01-07,864.8185511442059
2021-01-08,863.7521570573138
2021-01-09,868.3261058975877
2021-01-10,860.9661859959594
2021-01-11,869.3592397781063
2021-01-12,897.8778283687224
2021-01-13,931.3925927790684
2021-01-14,963.6543039059902
2021-01-15,987.3502332635993
2021-01-16,1004.4280398574954
2021-01-17,1037.6787274326214
2021-01-18,1076.6953245644802
