data,Casos_DataSintoma_MM_atual_PA
2020-07-04,1340.9137541805446
2020-07-05,1309.7985312157823
2020-07-06,1353.9979387101357
2020-07-07,1405.602287195278
2020-07-08,1549.3560815554563
2020-07-09,1498.2063438783325
2020-07-10,1489.2783291221676
2020-07-11,1551.8861306917465
2020-07-12,1379.155147279183
2020-07-13,1435.699218519404
2020-07-14,1406.0620286250944
2020-07-15,1316.292133691005
2020-07-16,1320.827948839521
2020-07-17,1447.4941395379294
2020-07-18,1546.4695940108172
2020-07-19,1295.8012911775618
2020-07-20,1330.1593346070033
2020-07-21,1288.5131319643756
2020-07-22,1359.9327185797988
2020-07-23,1347.0004133756088
2020-07-24,1284.1727423602586
2020-07-25,1404.0153811135124
2020-07-26,1160.874885422576
2020-07-27,1220.3366554149798
2020-07-28,1197.006290377058
2020-07-29,1094.9558407605027
2020-07-30,1089.9408268056482
2020-07-31,1143.317836456193
2020-08-01,1237.7831409429457
2020-08-02,1083.3314717654594
2020-08-03,1093.053287903357
2020-08-04,1094.0346399968557
2020-08-05,1048.1773571539952
2020-08-06,1104.6708472737146
2020-08-07,1087.3755270104791
2020-08-08,1193.9674767731858
2020-08-09,1159.0133620297147
2020-08-10,1189.2058027388903
2020-08-11,1155.9157014690225
2020-08-12,1128.7246597061644
2020-08-13,1096.1802794495668
2020-08-14,1054.7685219961854
2020-08-15,941.6357208814203
2020-08-16,877.5893476909664
2020-08-17,948.523427384494
2020-08-18,973.9947967454366
2020-08-19,954.4780936059324
2020-08-20,996.5258452734585
2020-08-21,955.4459966712508
2020-08-22,1033.8427207120378
2020-08-23,965.2225297401837
2020-08-24,937.8974552681161
2020-08-25,900.6199371287429
2020-08-26,861.1048214340701
2020-08-27,901.1115926488202
2020-08-28,835.4031339852982
2020-08-29,781.1386286890456
2020-08-30,764.6843106646035
2020-08-31,778.7276952490992
2020-09-01,742.6746451616461
2020-09-02,728.1331288540337
2020-09-03,688.6765354114729
2020-09-04,704.9693811444714
2020-09-05,716.304680091084
2020-09-06,683.1113249529818
2020-09-07,696.4487969525594
2020-09-08,730.089019762762
2020-09-09,708.6651678971299
2020-09-10,714.191068725281
2020-09-11,661.5445629222941
2020-09-12,662.2147850823856
2020-09-13,636.1740414287133
2020-09-14,652.2747522419571
2020-09-15,655.1215370271584
2020-09-16,621.4653911556676
2020-09-17,671.6457402202855
2020-09-18,632.5914397992534
2020-09-19,641.5949152866731
2020-09-20,628.8523326687922
2020-09-21,678.9428913652201
2020-09-22,621.522118290051
2020-09-23,611.2368936637217
2020-09-24,593.5956186210962
2020-09-25,596.8029328903481
2020-09-26,596.6051346802143
2020-09-27,624.4473389871711
2020-09-28,673.7817794553077
2020-09-29,677.837038273694
2020-09-30,645.7484020660548
2020-10-01,647.8113966218443
2020-10-02,602.150153516509
2020-10-03,593.1840945372821
2020-10-04,524.3827199720711
2020-10-05,557.0722064813438
2020-10-06,537.5341731310373
