data,Casos_Publicacao_MM_atual_PA
2020-09-01,1420.7656464472855
2020-09-02,1425.836207501845
2020-09-03,1382.885116621838
2020-09-04,1347.9964879639613
2020-09-05,1341.6566253151307
2020-09-06,1308.2585984081973
2020-09-07,1297.2531167656439
2020-09-08,1300.8614125056997
2020-09-09,1263.215419323972
2020-09-10,1224.4828085149015
2020-09-11,1208.0318940766747
2020-09-12,1207.5564071781207
2020-09-13,1185.4471066875847
2020-09-14,1156.0333790653228
2020-09-15,1163.3472190334946
2020-09-16,1129.3984001009665
2020-09-17,1112.2626323141965
2020-09-18,1092.5799278304653
2020-09-19,1090.5392171771093
2020-09-20,1051.1965129607624
2020-09-21,1056.4106116956734
2020-09-22,1097.2296342102677
2020-09-23,1081.069315134141
2020-09-24,1074.8817341237204
2020-09-25,1042.0476549438122
2020-09-26,1010.1851327545306
2020-09-27,961.0871852544825
2020-09-28,926.4566178341034
2020-09-29,935.2248121308941
2020-09-30,931.1645793944554
2020-10-01,943.3061789061247
2020-10-02,939.7665898702497
2020-10-03,947.814228244139
2020-10-04,921.6396948115658
2020-10-05,922.203863233226
2020-10-06,951.5616437763971
