data,Obitos_DataOcorrencia_Min,Obitos_DataOcorrencia_Max
2020-08-09,20.18871958184549,20.67972735334727
2020-08-10,20.29115989410079,20.892869145807772
2020-08-11,20.11018062879489,20.660069037704613
2020-08-12,19.09462188676484,19.534526309566356
2020-08-13,17.670158740578817,18.10579105562495
2020-08-14,18.669846873992654,19.04882639627108
2020-08-15,18.55574268608404,18.948170275283545
2020-08-16,18.285468895457896,18.62402920113228
2020-08-17,19.147700822562264,19.43658030793189
2020-08-18,19.511198236657442,19.875965114919403
2020-08-19,18.311981270634757,18.707282378948857
2020-08-20,17.488326990699193,17.88234117743723
2020-08-21,18.420858792272476,18.90405952450283
2020-08-22,18.249020359967275,18.591931122527498
2020-08-23,17.93419185363556,18.26925593684492
2020-08-24,18.363249331268907,18.911333649564764
2020-08-25,18.227909471000174,18.683256948130182
2020-08-26,17.331855694479753,17.69599024718187
2020-08-27,16.50380849562387,16.906758222904468
2020-08-28,17.929054907945194,18.302145740574204
2020-08-29,17.841537038634577,18.1938551710606
2020-08-30,16.91154939472064,17.339344443717394
2020-08-31,17.089113133075582,17.483568869136057
2020-09-01,17.523624985849914,17.924307100019355
2020-09-02,16.24457766179669,16.59259418077469
2020-09-03,15.608790828292307,15.96318865236237
2020-09-04,16.634679849558026,17.02751235695148
2020-09-05,15.788007872680884,16.14637434297555
2020-09-06,15.090608228327783,15.51536552616649
2020-09-07,15.422902686799537,15.841205576845004
2020-09-08,15.158966995658725,15.571056262048405
2020-09-09,13.81841620455925,14.293283286430514
2020-09-10,12.659318840180747,13.05152974353845
2020-09-11,13.43408188298275,13.880341618904712
2020-09-12,12.996587482685815,13.325117253719412
2020-09-13,12.377013603015994,12.744458253637369
2020-09-14,12.591608512230163,12.923998322207094
2020-09-15,12.242162603612124,12.606087541566355
2020-09-16,11.61436794388634,11.937200254146092
2020-09-17,10.825542290733951,11.15015393721266
2020-09-18,11.8488478093653,12.127758653757178
2020-09-19,11.066652664852871,11.529974036915258
2020-09-20,10.74824301617266,11.061278946657625
2020-09-21,11.102617522538528,11.391893563879076
2020-09-22,10.930649323160758,11.17804531716413
2020-09-23,10.514941412255254,10.808289195667246
2020-09-24,9.894016153937782,10.116957175247494
2020-09-25,10.365174963899824,10.586732308568381
2020-09-26,9.772973864828021,10.005645078183669
2020-09-27,8.835386917147265,9.087841721335966
2020-09-28,9.319694372118894,9.570318631935942
2020-09-29,9.132077083151446,9.36898034384128
2020-09-30,8.6157684268312,8.839581728313677
2020-10-01,8.094270731422041,8.282589548590005
2020-10-02,8.839671593877174,9.068075914458019
2020-10-03,8.640949222791857,8.881861335157836
2020-10-04,8.056656539158512,8.241182644454101
2020-10-05,8.931474432283885,9.14711644379486
2020-10-06,8.76122782471079,9.00929433980249
2020-10-07,8.146408487853199,8.400201973230615
