data,Obitos_Publicacao_Min,Obitos_Publicacao_Max
2021-02-12,41.90181056784445,42.62270120805488
2021-02-13,41.25534451299194,42.28901359920601
2021-02-14,40.91042988711285,41.745942565823455
2021-02-15,41.415796265015516,42.3480101633398
2021-02-16,41.73470332493363,42.691618670873005
2021-02-17,40.25992523600443,40.963806862994176
2021-02-18,41.21015860339578,41.88488077693621
2021-02-19,41.64527507105891,42.665268799524576
2021-02-20,41.73635652437947,42.54228955859321
2021-02-21,41.62087082479947,42.30635104498674
2021-02-22,42.38447660401839,43.2499509479904
2021-02-23,43.2460940183214,44.15696866394642
2021-02-24,42.058223503170446,43.17670366837135
2021-02-25,42.63359530462654,43.32122377510131
2021-02-26,42.98301742595745,43.80493599861913
2021-02-27,42.69462958399806,43.59067189055413
2021-02-28,41.98253093535323,42.83004037646185
2021-03-01,42.49930776317549,43.243694134161956
2021-03-02,43.27461462731507,44.19128447553249
2021-03-03,42.08367990897678,42.82230868810944
2021-03-04,43.0070388100238,43.94084818303607
2021-03-05,44.09656574993828,44.95651871317965
2021-03-06,43.9823650946533,44.79347158359569
2021-03-07,44.01037368456412,45.17824919078214
2021-03-08,45.4591505730461,46.33387564878861
2021-03-09,47.06120119074126,48.12062918864188
2021-03-10,47.254167797676565,48.01352715901085
2021-03-11,49.02198872447191,50.195454206461136
2021-03-12,50.42285026860202,51.22533043033585
2021-03-13,51.03986760087896,52.38916340362388
2021-03-14,51.271916199515886,52.54728990529496
2021-03-15,52.29970403793463,53.28539308520728
2021-03-16,53.82189385530429,54.959661635839815
2021-03-17,53.587882499109334,54.937007214025485
2021-03-18,55.38544824813048,56.797500872999606
2021-03-19,55.77615040041362,57.470192416642135
2021-03-20,57.04708706706101,59.17894429450521
2021-03-21,57.24845198517325,58.939931617130156
2021-03-22,58.05273974543427,60.08436581985667
2021-03-23,60.112669268205515,62.140667210202736
2021-03-24,60.9568247170488,63.42218187424687
2021-03-25,62.09140701183215,64.48777506337359
2021-03-26,63.709292818610535,65.6834738848415
2021-03-27,65.19169488360535,67.63221617048944
2021-03-28,65.37563077501366,68.51037224273759
2021-03-29,66.91828510788143,69.34742868133515
2021-03-30,68.89936562030928,70.92605085573628
2021-03-31,68.40408655723964,71.79242464944579
2021-04-01,69.6388617187432,72.54354034685313
2021-04-02,69.39626457387868,73.1042638133492
2021-04-03,71.00458514172146,73.96052068085275
2021-04-04,71.8151288472073,75.26366170433285
2021-04-05,72.32565651317664,75.46730500816493
2021-04-06,74.13088031691201,76.64796193849303
2021-04-07,73.24803706933623,76.4745624194038
2021-04-08,73.58248028500782,77.2789715062009
2021-04-09,73.19360919358562,75.62521288599784
2021-04-10,73.32909755341615,76.45361122412338
2021-04-11,72.67775293237094,75.33515615620634
2021-04-12,71.48454428067298,75.00978110235181
2021-04-13,72.76604380283455,75.46272965908653
2021-04-14,71.56239124055409,74.05713624147107
2021-04-15,72.31986615035999,74.44525199087646
2021-04-16,72.04412847310283,73.7115183804668
2021-04-17,72.48152336673213,74.51596338896701
2021-04-18,72.07640549864455,74.2237553040771
2021-04-19,71.55622524066473,73.2040080998575
2021-04-20,70.44583473895436,71.87808693967573
2021-04-21,68.62970836873627,69.94035416891744
2021-04-22,67.772592528693,69.24509278666952
2021-04-23,66.5647305592312,68.02176138121212
2021-04-24,66.25956536829182,67.88376885855288
2021-04-25,65.54244142978432,66.82824166919018
2021-04-26,64.65467340405205,66.48733030651788
2021-04-27,64.1592680636386,65.36318702198501
2021-04-28,62.57409228682579,63.80898404712819
2021-04-29,62.065916310564155,63.85935196002266
2021-04-30,61.12178154782362,62.59661802618599
2021-05-01,60.0223982685872,61.13311670260886
2021-05-02,58.7995687105959,59.795416675900086
2021-05-03,57.02606858006279,58.03100644215104
2021-05-04,55.75107519698888,56.69826165319052
2021-05-05,52.98328856094087,54.3779226518658
2021-05-06,53.120043754080584,54.13476343237734
2021-05-07,52.856041016752876,53.98111646981759
2021-05-08,51.52632836191178,52.46063255965584
2021-05-09,50.01116701381551,51.23264171013968
2021-05-10,48.69990736313011,49.650547525546585
2021-05-11,47.8399855074859,48.73953967051137
2021-05-12,45.33984231086494,46.54368309553992
2021-05-13,44.76660715810262,46.09893215256183
2021-05-14,44.195985677894484,44.97453439720065
2021-05-15,43.01416701851188,43.833730902307096
2021-05-16,41.878825049186446,42.70339144220882
2021-05-17,41.036498326112394,42.12636729974082
2021-05-18,41.03747595109461,41.98897572378366
2021-05-19,40.06365019383852,40.80252569102777
2021-05-20,39.78368475983673,40.46942209524236
2021-05-21,39.58960031936433,40.42698039204217
2021-05-22,39.48366733569904,40.27695304873739
2021-05-23,38.6802706182338,39.58215067223705
2021-05-24,38.70575068656969,39.60937468458762
2021-05-25,38.927987874330036,39.655767685921965
2021-05-26,38.11797451970047,38.76448159462043
2021-05-27,38.052408703784955,38.61189299888667
2021-05-28,37.92644075726878,38.72327977040584
2021-05-29,37.21109775981997,38.175556382455454
2021-05-30,36.2585161045785,36.85801912103795
2021-05-31,35.484646260300536,36.16586553702862
2021-06-01,35.487134015062054,36.15616076714551
2021-06-02,34.20610342310241,34.96812320024372
2021-06-03,33.39938663678028,33.89376061723654
2021-06-04,32.38898369399338,33.006391808109626
2021-06-05,31.23087915041964,31.930102097931094
2021-06-06,30.045474052238227,30.734259736582885
2021-06-07,29.059316516616953,29.678817254407544
2021-06-08,29.352009168006468,29.925537926409017
2021-06-09,28.50110632693254,29.072236716327005
2021-06-10,28.59937034878939,29.12331874952983
2021-06-11,28.85489791867491,29.38203297408169
2021-06-12,28.68079121382187,29.410377021441683
2021-06-13,28.45280045194728,28.98192512971885
2021-06-14,28.557691841837368,29.138020275122987
2021-06-15,29.43631625964105,30.000314973588246
2021-06-16,28.994435976024782,29.564362305763854
2021-06-17,29.433471991775722,29.97382922820578
2021-06-18,29.797169144561373,30.381017217427882
2021-06-19,29.800571693225606,30.36272298778129
2021-06-20,29.193240532685248,29.76088861686425
2021-06-21,29.711261726742453,30.20084800046536
2021-06-22,30.864956588486457,31.287376860995085
2021-06-23,30.497569404929898,31.06400274672335
2021-06-24,31.090734255203234,31.673902950796627
2021-06-25,31.37302291982202,31.890565984568816
2021-06-26,31.104118802626612,31.622751846193236
2021-06-27,30.205323840937822,30.857703290814314
2021-06-28,30.254489636969364,30.743987154542832
2021-06-29,30.661483679814673,31.21443086501385
2021-06-30,29.272973444327626,29.916782648285015
2021-07-01,28.683298916314993,29.394769975126508
2021-07-02,27.67155544834744,28.28244712754539
2021-07-03,26.177978330280514,26.732897216558765
2021-07-04,25.19380006287973,25.680499647659015
2021-07-05,24.74672317148549,25.385324572109806
2021-07-06,25.215201926665483,25.67317088202966
2021-07-07,24.448975247621927,24.845174739538038
2021-07-08,24.861206004328007,25.27241233548882
2021-07-09,24.831200752156715,25.34525740277122
2021-07-10,23.329811071015044,23.696434580016806
2021-07-11,22.72378199610678,23.112549890809333
2021-07-12,22.237245522964848,22.767693140516496
2021-07-13,21.648981901843243,22.07352100535681
2021-07-14,20.540546564325172,20.953093639045534
2021-07-15,20.14291475145252,20.641057566702276
2021-07-16,20.270053564671137,20.660036928748678
