data,Obitos_DataOcorrencia_Min,Obitos_DataOcorrencia_Max
2020-08-09,19.87107092630416,20.22492937414886
2020-08-10,19.393338487573928,19.66231243680417
2020-08-11,18.91226179661321,19.156365958359853
2020-08-12,18.254814802954428,18.53974050980883
2020-08-13,17.361625011139967,17.737434019907905
2020-08-14,17.372608971151344,17.751560148221973
2020-08-15,17.127786593990347,17.433604704669822
2020-08-16,17.22238666079002,17.53392900595487
2020-08-17,16.614408574834968,16.918061284066074
2020-08-18,16.108897104640292,16.389932963960614
2020-08-19,15.711536071594898,15.994599198209317
2020-08-20,15.512745264344641,15.78333896127104
2020-08-21,15.510705761647504,15.842608315620497
2020-08-22,15.435692786569543,15.662335735751443
2020-08-23,15.763774728445805,16.028756794008796
2020-08-24,15.331798583285325,15.581865514806543
2020-08-25,14.989686451628227,15.287992451982017
