data,Obitos_Publicacao_MM_atual_PA
2020-09-03,19.683274068420783
2020-09-04,20.65921586130003
2020-09-05,18.982964385363385
2020-09-06,18.77117556689851
2020-09-07,18.452395036478922
2020-09-08,17.671189340030626
2020-09-09,16.81739351112976
2020-09-10,16.08716571733867
2020-09-11,15.702470811639975
2020-09-12,14.952875510956433
2020-09-13,15.557551658956758
2020-09-14,15.582828517782765
2020-09-15,15.438498513530204
2020-09-16,15.081285583744636
2020-09-17,14.61968587575278
2020-09-18,14.452246158915125
2020-09-19,13.422339375217678
2020-09-20,13.74902573555933
2020-09-21,13.891073337522059
2020-09-22,13.539498198995322
2020-09-23,12.855489305990133
2020-09-24,12.697811826318357
2020-09-25,12.804667188417774
2020-09-26,11.739941275356895
2020-09-27,12.505881049574626
2020-09-28,12.909539649673201
2020-09-29,12.439906486966272
2020-09-30,11.922976013947734
2020-10-01,11.79729530005857
2020-10-02,11.741810148106527
2020-10-03,10.594658258541191
2020-10-04,11.46666652233456
2020-10-05,11.87496066154342
2020-10-06,11.824678276751836
2020-10-07,11.06426189023548
2020-10-08,11.591932908237213
2020-10-09,11.884565727677677
2020-10-10,11.332751834624897
2020-10-11,11.869793821832879
2020-10-12,11.834334464115393
